	ヶ
LD	レーザーディスク
LDAP	エルダップ
LHA	エルエイチエー
LHarc	エルエイチアーク
LIFO	リーフォー
LIPS	リップス
LISP	リスプ
LL	ランゲージラボラトリー
LLC	ロングライフクーラント
LOCIS	ロシス
LOL	ワロス
LPF	ローパスフィルタ
LS	ローサルファ
LSAP	エルサップ
LSI	エルエスアイ
LU	エルユー
LUT	ルックアップテーブル
LZ	ランディングゾーン
LaTeX	ラテック
Lacoste	ラコステ
Lakshmi	ラクシュミ
Lamaze	ラマーズ
Lancel	ランセル
Langerhans	ランゲルハンス
Lanvin	ランバン
Laocoon	ラオコオン
Laos	ラオス
Lapland	ラップランド
Laserwriter	レーザーライタ
Latin	ラテン
Latin-American	ラテン
Latino	ラテン
Latvia	ラトビア
Laurasia	ローラシア
Lavie	ラビー
Lead-In	リードイン
Lead-Out	リードアウト
Lebanon	レバノン
Leghorn	レグホーン
Leica	ライカ
Leipzig	ライプツィヒ
Leitmotiv	ライトモチーフ
Leninizm	レーニニズム
Lent	レント
Lepidoptera	チョウモク
Lesotho	レソト
Levis	リーバイス
Lexin	レキシン
Lhasa	ラサ
Liberia	リベリア
Libya	リビア
Likud	リクード
Lilium	ユリ
Lima	リマ
Limburger	リンバーガー
LimeWire	ライムワイヤー
Linotronic	ライノトロニック
Linton	リントン
Linux	ライナックス
Lisbon	リスボン
Lithuania	リトアニア
LocalTalk	ローカルトーク
Lockheed	ロッキード
London	ロンドン
Longbeach	ロングビーチ
Longines	ロンジン
Look@Me	ルックアットミー
Loramet	ロラメット
Lorelei	ローレライ
Lotteria	ロッテリア
Louisiana	ルイジアナ
Louvre	ルーヴル
Lucent	ルーセント
Luxembourg	リュクサンブール
Luxemburg	リュクサンブール
Lycos	ライコス
MAN	メトロポリタンエリアネットワーク
MAPI	マッピ
MB	メガバイト
MBONE	エムボーン
MBR	マスタブートレコード
MCI	エムシーアイ
MCU	マイコン
MD	エムディー
MDB	マルチメディアデータベース
ME	マイクロエレクトロニクス
MEMMAKER	メムメーカー
MFLOPS	メガフロップス
MH	メタルハイドライト
MHz	メガヘルツ
MIFES	マイフェス
MILNET	ミルネット
MIPMAP	ミップマッピング
MIPS	ミップス
MME	エムエムイー
MMF	マネーマネジメントファンド
MMI	マンマシンインターフェース
MMO	エムエムオー
MMU	エムエムユー
MMX	エムエムエックス
MO	エムオー
MOLAP	エムオーラップ
MPC	エムピーシー
MPEG	エムペグ
MPEG++	エムペグプラスプラス
MPEG2	エムペグツー
MPP	エムピーピー
MPU	エムピーユー
MRF	マネーリザーブファンド
MS	エムエス
MS-DOS	エムエスドス
MSCDEX	エムエスシーディーイーエックス
MSDN	エムエスディーエヌ
MSIE	エムエスアイイー
MSN	エムエスエヌ
MSW	メディカルソーシャルワーカー
MT	メガトン
MTBF	エムティービーエフ
MTS	エムティーエス
MTU	エムティーユー
MUD	エムユーディー
MVS	エムブイエス
Maasai	マサイ
Mac	マック
Macadam	マカダム
Macao	マカウ
Macau	マカウ
Macedonia	マケドニア
Mach	マーク
Machiavellianism	マキアヴェリズム
Machiavellism	マキアヴェリズム
Macintosh	マッキントッシュ
Madeira	マデイラ
Madras	マドラス
Magellan	マゼラン
Mahatma	マハトマ
Maiasaura	マイアサウラ
Major	メイジャー
Malaga	マラガ
Malawi	マラウイ
Malay	マレイ
Malaysia	マレーシア
Maldive	マルディブ
Maldives	マルディブ
Mali	マリ
Malibu	マラブー
Malta	マルタ
Maltese	マルチーズ
Mama	ママ
Manchester	マンチェスター
Manhattan	マンハッタン
Manila	マニラ
Manitoba	マニトバ
March	マーチ
Marianas	マリアナ
Marine	マリーン
Marisat	マリサット
Marmite	マーマイト
Mars	マース
Martinique	マルティニク
Maru-ship	マルシップ
Marxism	マルキシズム
Marxist	マルキシスト
Mary	メアリ
Maryland	メリーランド
Masai	マサイ
Maserati	マサラティー
Massachusetts	マサチューセッツ
Masscomp	マスコンプ
Mauritius	マウリチウス
Mauser	モーゼル
May	メイ
Maya	マヤ
Mayday	メイデイ
Mayotte	メイヨット
Mb	メガビット
McCarthyism	マッカーシズム
McCulloch	マッカロー
McDonald's	マクド
Mecca	メッカ
Medicaid	メディケイド
Medoc	メドック
Medusa	メドゥーサ
Meistersinger	マイスタージンガー
Melbourne	メルボルン
Memphis	メンフィス
Mendelism	メンデリズム
Mendocino	メンドシーノ
Meniere	メニエール
Mennonite	メノナイト
Menshevik	メンシェヴィキ
Merced	マーセッド
Mercedes	メルセデス
Mercedes-Benz	メルセデスベンツ
Mercosur	メルコスール
Mercurochrome	マーキュロ
Mercury	マーキュリー
Merino	メリノ
Mesopotamia	メソポタミア
Messiah	メサイア
Methodist	メソジスト
Metis	メティス
Mexico	メキシコ
Miami	マイアミ
Michelin	ミシュラン
Michigan	ミシガン
Microcom	マイクロコム
Micron	マイクロン
Micronesia	ミクロネシア
Microsoft	マイクロソフト
Millenium	ミレニウム
Milwaukee	ミルウォーキー
Minerva	ミネルヴァ
Minnesota	ミネソタ
Minos	ミノス
Mir	ミール
Miss	ミス
Missouri	ミズーリ
Mitzvah	ミツワー
Moebius	メービウス
Mohawk	モホーク
Moldavia	モルダビア
Moldova	モルドバ
Monaco	モナコ
Monday	マンデー
Mondex	モンデックス
Monel	モネル
Monera	モネラ
Mongolian	モンゴリアン
Mongoloid	モンゴリアン
Montana	モンタナ
Monteverdi	モンテヴェルディ
Montgomery	モントゴメリー
Montserrat	モンセラー
Morocco	モロッコ
Morris	モーリス
Moscow	モスクワ
Moses	モーセ
Moslem	モスレム
Mossad	モサド
Mother	マザー
Mothers	マザーズ
Moxifloxacin	モキシフロキサシン
Mozambique	モザンビーク
Mozart	モーツァルト
Mozilla	モジラ
Mr	ヘル
Mrs	ミセス
Ms	ミズ
Muenchen	ミュンヘン
Muller	ミュラー
MultiFinder	マルチファインダ
Multics	マルチクス
Munich	ミュンヘン
Munshingwear	マンシングウエア
Muppet	マペット
Muse	ミューズ
Muslim	ムスリム
Mussolini	ムッソリーニ
Myanmar	ミャンマー
Mytalk	マイトーク
NC	エヌシー
NCA	エヌシーエー
NCR	エヌシーアール
NCSA	エヌシーエスエー
NCTV	エヌシーティービー
NCU	エヌシーユー
NEC	エヌイーシー
NFER	エヌファー
NFL	アメリカプロフットボールリーグ
NFS	エヌエフエス
NFSNET	エヌエフエスネット
NII	エヌアイアイ
NIM	エヌアイエム
NISO	エヌアイエスオー
NIST	エヌアイエスティー
NNTP	エヌエヌティーピー
NOC	エヌオーシー
NOS	エヌオーエス
NPTN	エヌピーティーエヌ
NREN	エヌアールイーエヌ
NSAPI	エヌエスエーピーアイ
NSFnet	エヌエスエフネット
NSP	エヌエスピー
NSPIXP	エヌエスピーアイエックスピー
NTP	エヌティーピー
Nintendo	ファミリーコンピューター
NlightN	エヌライトン
OA	オーエー
OADG	オーエーディージー
OAPEC	オアペック
OAS	オアス
OASYS	オアシス
OCN	オーシーエヌ
OCR	オーシーアール
OCX	オーシーエックス
ODBC	オーディービーシー
ODBMS	オーデービーエムエス
ODIN	オーディン
ODN	オーディーエヌ
ODP	オーディーピー
OEM	オーイーエム
OH	オフフック
OJT	オージェーティー
OK	オーライ
OL	オフィスレディ
OLAP	オーラップ
OLE	オーエルイー
OLTP	オーエルティーピー
OMNIMAX	オムニマックス
OOPArt	オーパーツ
OPEC	オペック
OPENLOOK	オープンルック
OPP	オルトフェニルフェノール
OPS	オーピーエス
OR	オア
ORB	オーアールビー
ORDB	オーアールデービー
ORIONS	オリオンズ
OS	オペレイティングシステム
OS-2	オーエスツー
OSI	オーエスアイ
OSPER	オスパー
OSR2	オーエスアールツー
Occident	オクシデント
Oceania	オセアニア
October	オクトーバー
Odin	オーディーン
Odyssey	オデッセイ
Oedipus	オイディプス
Office2000	オフィスニセン
Office95	オフィスキュウジュウゴ
Office98	オフィスキュウジュウハチ
OfficeXP	オフィスエックスピー
Ogopogo	オゴポゴ
Oh!	アー
Ohio	オハイオ
Ohm	オーム
Oklahoma	オクラホマ
Olympia	オリンピア
Olympiad	オリンピアード
Olympic	オリンピック
Olympus	オリンポス
Om	アウン
Oman	オーマン
OneWorld	ワンワールド
Ontario	オンタリオ
OpenClient	オープンクライアント
OpenDoc	オープンドック
OptiPlex	オプティプレックス
Oregon	オレゴン
Orient	オリエント
Orion	オライオン
Orlon	オーロン
Oryzanin	オリザニン
Oscar	オスカー
Othello	オセロ
Ottawa	オタワ
Oxbridge	オクスブリッジ
Oxford	オクスフォード
Oxyfull	オキシフル
PD	プログラムディレクター
PDP	プラズマディスプレイパネル
PET	ポリエチレンテレフタレート
PG	ペナルティーゴール
PIF	ピフ
PIM	ピム
PM	プレゼンテーションマネージャ
PO	プライベートオファーリング
POP	ポイントオブプレザンス
POP3	ポップスリー
POPmail	ポップメイル
POS	ポス
POSIX	ポジックス
PPP	ポイントツーポイントプロトコル
PROLINEA	プロリニア
PROLOG	プロローグ
PReP	プレップ
PS	ホースパワー
PSION	サイオン
PageMill	ページミル
Paisley	ペーズリー
Pegasus	ペガサス
Pekinese	ペキニーズ
Pekingology	ペキノロジー
Pennsylvania	ペンシルバニア
Penrose	ペンローズ
Pentax	ペンタックス
Pentium	ペンティアム
Pepsi	ペプシ
Peru	ペルー
Petri	ペトリ
Petri-net	ペトリネット
Phalaenopsis	ファレノプシス
Philadelphia	フィラデルフィア
Philip	フィリップ
Philippines	フィリピン
Philips	フィリップス
Philopon	ヒロポン
Phoenicia	フェニキア
PhotoCD	フォトシーディー
PinYin	ピンイン
Pitcairn	ピトケアン
Playstation	プレイステーション
Plesiosaurus	プレシオザウルス
Pluto	プルートー
Poland	ポーランド
Polaris	ポラリス
Polaroid	ポラロイド
Polynesia	ポリネシア
Pomeranian	ポメラニアン
Pope	ポープ
Porsche	ポルシェ
Portege	ポーテジェ
Portugal	ポルトガル
Portulaca	ポーチュラカ
Poseidon	ポセイドン
Post-It	ポストイット
Postgres	ポストグレス
Postpet	ポストペット
Prague	プラーグ
Pravda	プラウダ
Pretoria	プレトリア
Pro*C	プロシー
ProActive	プロアクティブ
Prodigy	プロディジー
Prometheus	プロメテウス
Promide	プロマイド
Protestantism	プロテスタンティズム
Prussia	プロイセン
Prussian	プルシャン
Pteranodon	プテラノドン
Puccini	プッチーニ
Pueblo	プエブロ
Pulitzer	ピューリッツァー
Puritan	ピューリタン
Putin	プーチン
Pyramidon	ピラミドン
Q-Vision	キュービジョン
QLD	キューエルディー
QSO	クエーサー
QUICK-VAN	クイックバン
QUICKEN	クイッケン
Quaker	クエーカー
Quantum	カンタム
Quebec	ケベック
Quecha	ケチュア
Quechua	ケチュア
Queensland	クイーンズランド
Quichua	ケチュア
QuickDraw	クイックドロー
QuickTime	クイックタイム
Qur'an	クルアーン
Quran	クルアーン
RAD	ラッド
RAL	ラルテグラビル
RAM	ランダムアクセスメモリ
RAMDAC	ラムダック
RAPCON	ラプコン
RAS	リモートアクセスサービス
RBI	タイムリ
RDB	アールデービー
RDBMS	アールデービーエムエス
RDO	アールディーオー
RDS	ランダムドットステレオグラム
README	リードミー
RESale	リセール
REXX	レックス
RFC	アールエフシー
RGB	アールジービー
RIMNET	リムネット
RIP	ラスターイメージプロセッサ
RJ	ランダムジッタ
RJE	リモートジョブエントリー
RMI	アールエムアイ
ROLAP	アールオーラップ
ROM	リードオンリーメモリ
RPG	ロールプレイングゲーム
RS-232C	アールエスニーサンニーシー
RS-232D	アールエスニーサンニーディー
RS-422	アールエスヨンニーニ
RTF	アールティーエフ
RTFJ	アールティーエフジェイ
RV	キャンピングカー
Rachmaninoff	ラフマニノフ
Raltegravir	ラルテグラビル
Ramadan	ラマダン
Rambus	ラムバス
Rasta	ラスタ
Rastafarian	ラスタ
Rastafarianism	ラスタファリズム
Ray-Ban	レイバン
RealAudio	リアルオーディオ
RedBrick	レッドブリック
Reebok	リーボック
Regulus	レグルス
Remington	レミントン
Renaissance	ルネサンス
Renault	ルノー
Reunion	レユニオン
Rh	アールエイチ
Rhizopus	クモノスカビ
Rias	リアス
Ricoh	リコー
Right	アー
Rigveda	リグヴェーダ
Rijndael	ラインダール
Ritalin	リタリン
Rochester	ロチェスター
Roentgenium	レントゲニウム
Rolex	ロレクス
Rolls-Royce	ロールスロイス
Rom	ロマ
Roma	ロマ
Rome	ローマ
Roquefort	ロックフォール
Rosser	ロッサー
Rossignol	ロシニョール
Rossini	ロッシーニ
Rotring	ロットリング
Ruputer	ラピュータ
Rus'	ルシ
Russia	ロ
Rwanda	ルワンダ
S3	エスキューブ
SAA	システムアプリケーションアーキテクチャ
SALT	ソルト
SAM	サム
SAP	エスエイピー
SBR	スチレンブタジエンゴム
SCANDISK	スキャンディスク
SCARA	スカラ
SCO	エスシーオー
SCOP	スコップ
SCSI	スカジー
SCSI-2	スカジーツー
SCSI-3	スカジースリー
SCUBA	アクアラング
SD-RAM	エスディーラム
SDK	エスディーケー
SE	エスイー
SEWB	エスイーダブリュービー
SFA	エスエフエー
SGI	シリコングラフィックス
SGML	エスジーエムエル
SI	システムインテグレーション
SIA	エスアイエー
SIG	シグ
SIMCITY	シムシティー
SIMEARTH	シムアース
SIS	エスアイエス
SLIP	シリアルラインインターネットプロトコル
SMARTDRV	スマートドライブ
SMON	スモン
SMP	エスエムピー
SMTP	エスエムティーピー
SNA	エスエヌエー
SNOBOL	スノボル
SO	シフトアウト
SO-NET	ソネット
SOHO	ソーホー
SONET	ソネット
SOTEC	ソーテック
SPARC	スパーク
SPECmark	スペックマーク
SQL	エスキューエル
SQL*Net	エスキューエルネット
SQL*Plus	エスキューエルプラス
SRAM	エスラム
STD	エスティディー
STN	エスティーエヌ
SUBROC	サブロック
SUG	サンユーザグループ
SVGA	エスブイジーエー
SVR4	エスブイアールフォー
SWAT	スワット
SYBASE	サイベース
SYMBIOS	シムバイオス
SYSTEM.INI	システムイニ
Sahara	サハラ
Saigon	サイゴン
Saint-Simonism	サンシモニズム
Saizeriya	サイゼ
Sakhalin	サハリン
Salmonella	サルモネラ
Salvarsan	サルバルサン
Samuel	サミュエル
San	サン
Sanforised	サンフォライズ
Sanforized	サンフォライズ
Sangerism	サンガリズム
Sanskrit	サンスクリット
Saracen	サラセン
Sarin	サリン
Sasanishiki	ササニシキ
Saskatchewan	サスカチワン
Satan	サタン
Saturday	サタデー
Saturn	サターン
Saudi	サウジ
Scandinavia	スカンジナビア
Scaramouche	スカラムーシュ
Schubert	シューベルト
Scotch	スコッチ
Scotland	スコットランド
